# id,name,brand,category,standard_unit,provider,price,unit,fetched_at,url
1,Aashirvaad Atta 5 kg,Aashirvaad,Grocery,5 kg,ExampleProviderA,399,5 kg,2025-10-16T00:00:00Z,
2,Tata Salt 1 kg,Tata,Grocery,1 kg,ExampleProviderA,30,1 kg,2025-10-16T00:00:00Z,
3,Parle-G Biscuit 400 g,Parle,Snacks,400 g,ExampleProviderB,50,400 g,2025-10-16T00:00:00Z,
4,Daawat Jasmine Rice 5 kg,Daawat,Grocery,5 kg,ExampleProviderB,499,5 kg,2025-10-16T00:00:00Z,
5,Fortune Sunflower Oil 1L,Fortune,Pantry,1 L,ExampleProviderA,180,1 L,2025-10-16T00:00:00Z,
6,Amul Butter 200 g,Amul,Dairy,200 g,ExampleProviderA,120,200 g,2025-10-16T00:00:00Z,
7,Amul Milk 1L,Amul,Dairy,1 L,ExampleProviderB,60,1 L,2025-10-16T00:00:00Z,
8,Patanjali Dant Kanti 80 g,Patanjali,Personal Care,80 g,ExampleProviderA,60,80 g,2025-10-16T00:00:00Z,
9,Colgate Toothpaste 100 g,Colgate,Personal Care,100 g,ExampleProviderB,90,100 g,2025-10-16T00:00:00Z,
10,Rin Washing Powder 1 kg,Rin,Home,1 kg,ExampleProviderA,120,1 kg,2025-10-16T00:00:00Z,
11,Pepsi 2L,Pepsi,Beverages,2 L,ExampleProviderB,120,2 L,2025-10-16T00:00:00Z,
12,Kinley Water 1.5L,Kinley,Beverages,1.5 L,ExampleProviderA,25,1.5 L,2025-10-16T00:00:00Z,
13,Maggi Masala Noodles 70 g,Maggi,Snacks,70 g,ExampleProviderA,12,70 g,2025-10-16T00:00:00Z,
14,Knorr Soup 60 g,Knorr,Pantry,60 g,ExampleProviderB,40,60 g,2025-10-16T00:00:00Z,
15,Sunfeast Dark Fantasy 300 g,Sunfeast,Snacks,300 g,ExampleProviderA,150,300 g,2025-10-16T00:00:00Z,
16,Lays Classic 52 g,Lays,Snacks,52 g,ExampleProviderB,15,52 g,2025-10-16T00:00:00Z,
17,Haldiram's Bhujia 200 g,Haldiram,Snacks,200 g,ExampleProviderA,95,200 g,2025-10-16T00:00:00Z,
18,Surf Excel 1 kg,Surf,Home,1 kg,ExampleProviderB,145,1 kg,2025-10-16T00:00:00Z,
19,Dettol Handwash 200 ml,Dettol,Personal Care,200 ml,ExampleProviderA,140,200 ml,2025-10-16T00:00:00Z,
20,Nescafe Classic 100 g,Nescafe,Beverages,100 g,ExampleProviderB,260,100 g,2025-10-16T00:00:00Z,
21,MTR Ready-to-Eat Paneer Butter Masala 300 g,MTR,Ready Meals,300 g,ExampleProviderA,120,300 g,2025-10-16T00:00:00Z,
22,Parachute Coconut Oil 200 ml,Parachute,Pantry,200 ml,ExampleProviderA,120,200 ml,2025-10-16T00:00:00Z,
23,Yes Dishwash Liquid 750 ml,Yes,Home,750 ml,ExampleProviderB,95,750 ml,2025-10-16T00:00:00Z,
24,Glucose Biscuits 200 g,Glucose,Snacks,200 g,ExampleProviderA,40,200 g,2025-10-16T00:00:00Z,
25,Axe Deo 150 ml,Axe,Personal Care,150 ml,ExampleProviderB,180,150 ml,2025-10-16T00:00:00Z,
26,Saffola Oats 500 g,Saffola,Pantry,500 g,ExampleProviderA,120,500 g,2025-10-16T00:00:00Z,
27,Tide Plus 1 kg,Tide,Home,1 kg,ExampleProviderB,135,1 kg,2025-10-16T00:00:00Z,
28,Britannia Cheese 200 g,Britannia,Dairy,200 g,ExampleProviderA,110,200 g,2025-10-16T00:00:00Z,
29,Red Label Tea 250 g,Red Label,Beverages,250 g,ExampleProviderB,210,250 g,2025-10-16T00:00:00Z,
30,Kellogg's Corn Flakes 500 g,Kellogg's,Pantry,500 g,ExampleProviderA,220,500 g,2025-10-16T00:00:00Z
